Organization_Site,City,Country,Longitude,Latitude,Data_type,Age_range_low,Age_range_high,Numerator,Denominator,Percent,Population,Comments,Male,Female,Data_Year_Min,Data_Year_Max
"iccdr,b (Matlab)",Matlab,Bangladesh,,,TB prevalence,19,44,18,"220,000",0.000,SS+ TB,,NR,NR,2014,2014
"iccdr,b (Matlab)",Matlab,Bangladesh,,,TB prevalence,45,100,44,"220,000",0.000,SS+ TB,,NR,NR,2011,2011
"iccdr,b (Matlab)",Matlab,Bangladesh,,,TB prevalence,45,100,43,"116,377",0.000,SS+ TB,,NR,NR,2012,2012
"iccdr,b (Matlab)",Matlab,Bangladesh,,,TB prevalence,45,100,49,"220,000",0.000,SS+ TB,,NR,NR,2013,2013
"iccdr,b (Matlab)",Matlab,Bangladesh,,,TB prevalence,45,100,30,"220,000",0.000,SS+ TB,,NR,NR,2014,2014
SATVI_test,Klerksdorp,South Africa,,,HIV incidence,,,,,,,,,,,
Emavundleni,Cape Town,South Africa,-33.993673,18.595306,HIV incidence,,,,,,,,,,,
Tygerburg,Cape Town,South Africa,-33.911279,18.611838,HIV incidence,,,,,,,,,,,
Emavundleni,Cape Town,South Africa,-33.993673,18.595306,HIV incidence,,,,,,,,,,,
Emavundleni,Cape Town,South Africa,-33.993673,18.595306,TB incidence,,,,,,,,,,,
