Organization_Site,Country,Data_type,Data_level,Age_range_low,Age_range_high,Numerator,Denominator,Percent,Estimates,TB_Type1,TB_Type2,TB_Type3,TB_Type4,Gender,Population1,Population2,Population3,CDR,Comments,Data_Year_Min,Data_Year_Max,Data_source
South Africa (National),South Africa,HIV prevalence,National,0,14,236316,7877200,0.03,,,,,,Female only,Community,,,,,2012,2012,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,15,24,171569,4289225,0.04,,,,,,Male only,Community,,,,,2004,2004,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,15,24,163511,5450367,0.03,,,,,,Male only,Community,,,,,2005,2005,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis"
South Africa (National),South Africa,HIV prevalence,National,15,24,152244,5074800,0.03,,,,,,Male only,Community,,,,,2006,2006,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,15,24,139463,4648767,0.03,,,,,,Male only,Community,,,,,2007,2007,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,15,24,125302,4176733,0.03,,,,,,Male only,Community,,,,,2008,2008,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,15,24,112571,5628550,0.02,,,,,,Male only,Community,,,,,2009,2009,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,15,24,102660,5133000,0.02,,,,,,Male only,Community,,,,,2010,2010,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,15,24,95686,4784300,0.02,,,,,,Male only,Community,,,,,2011,2011,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,15,24,92922,4646100,0.02,,,,,,Male only,Community,,,,,2012,2012,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,15,24,737113,4914087,0.15,,,,,,Female only,Community,,,,,2004,2004,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,15,24,746449,4976327,0.15,,,,,,Female only,Community,,,,,2005,2005,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis"
South Africa (National),South Africa,HIV prevalence,National,15,24,745553,4970353,0.15,,,,,,Female only,Community,,,,,2006,2006,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis"
South Africa (National),South Africa,HIV prevalence,National,15,24,737401,4916007,0.15,,,,,,Female only,Community,,,,,2007,2007,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,15,24,717737,4784913,0.15,,,,,,Female only,Community,,,,,2008,2008,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,15,42,693367,4952621,0.14,,,,,,Female only,Community,,,,,2009,2009,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,15,24,666964,5130492,0.13,,,,,,Female only,Community,,,,,2010,2010,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,15,24,638814,4913954,0.13,,,,,,Female only,Community,,,,,2011,2011,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,15,24,614650,5122083,0.12,,,,,,Female only,Community,,,,,2012,2012,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,25,44,1372387,6535176,0.21,,,,,,Male only,Community,,,,,2004,2004,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis"
South Africa (National),South Africa,HIV prevalence,National,25,44,1400222,6667724,0.21,,,,,,Male only,Community,,,,,2005,2005,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis"
South Africa (National),South Africa,HIV prevalence,National,25,44,1413899,6732852,0.21,,,,,,Male only,Community,,,,,2006,2006,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis"
South Africa (National),South Africa,HIV prevalence,National,25,44,1419245,6758310,0.21,,,,,,Male only,Community,,,,,2007,2007,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,25,44,1415028,7075140,0.2,,,,,,Male only,Community,,,,,2008,2008,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,25,44,1411973,7059865,0.2,,,,,,Male only,Community,,,,,2009,2009,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,25,44,1413503,7067515,0.2,,,,,,Male only,Community,,,,,2010,2010,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,25,44,1415507,7450037,0.19,,,,,,Male only,Community,,,,,2011,2011,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,25,44,1418938,7468094,0.19,,,,,,Male only,Community,,,,,2012,2012,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis"
South Africa (National),South Africa,HIV prevalence,National,25,44,1605178,6979035,0.23,,,,,,Female only,Community,,,,,2004,2004,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis"
South Africa (National),South Africa,HIV prevalence,National,25,44,1687618,7031742,0.24,,,,,,Female only,Community,,,,,2005,2005,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis"
South Africa (National),South Africa,HIV prevalence,National,25,44,1758506,7034024,0.25,,,,,,Female only,Community,,,,,2006,2006,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,26,44,1827920,7311680,0.25,,,,,,Female only,Community,,,,,2007,2007,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,25,44,1889013,7265434,0.26,,,,,,Female only,Community,,,,,2008,2008,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,25,44,1952020,7507769,0.26,,,,,,Female only,Community,,,,,2009,2009,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,25,44,2016064,7466904,0.27,,,,,,Female only,Community,,,,,2010,2010,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,25,44,2079147,7700544,0.27,,,,,,Female only,Community,,,,,2011,2011,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,25,44,2137620,7634357,0.28,,,,,,Female only,Community,,,,,2012,2012,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,46,64,348200,2901667,0.12,,,,,,Male only,Community,,,,,2004,2004,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,46,64,375069,3125575,0.12,,,,,,Male only,Community,,,,,2005,2005,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis"
South Africa (National),South Africa,HIV prevalence,National,45,64,395382,3294850,0.12,,,,,,Male only,Community,,,,,2006,2006,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,45,64,410896,3160739,0.13,,,,,,Male only,Community,,,,,2007,2007,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,45,64,421818,3244754,0.13,,,,,,Male only,Community,,,,,2008,2008,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,45,64,432648,3328062,0.13,,,,,,Male only,Community,,,,,2009,2009,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,45,64,444998,3423062,0.13,,,,,,Male only,Community,,,,,2010,2010,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,45,64,456641,3512623,0.13,,,,,,Male only,Community,,,,,2011,2011,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,45,64,467147,3593439,0.13,,,,,,Male only,Community,,,,,2012,2012,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,45,64,134161,3354025,0.04,,,,,,Female only,Community,,,,,2004,2004,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,45,64,162894,4072350,0.04,,,,,,Female only,Community,,,,,2005,2005,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,45,64,193048,3860960,0.05,,,,,,Female only,Community,,,,,2006,2006,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis"
South Africa (National),South Africa,HIV prevalence,National,45,64,225319,3755316,0.06,,,,,,Female only,Community,,,,,2007,2007,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,45,64,257804,4296733,0.06,,,,,,Female only,Community,,,,,2008,2008,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,45,64,291822,4168886,0.07,,,,,,Female only,Community,,,,,2009,2009,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,45,64,326955,4086938,0.08,,,,,,Female only,Community,,,,,2010,2010,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,45,64,362174,4527175,0.08,,,,,,Female only,Community,,,,,2011,2011,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,45,64,396514,4405711,0.09,,,,,,Female only,Community,,,,,2012,2012,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,65,100,2958,295800,0.01,,,,,,Male only,Community,,,,"
Prevalence <1%",2004,2004,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis"
South Africa (National),South Africa,HIV prevalence,National,65,100,4204,420400,0.01,,,,,,Male only,Community,,,,"
Prevalence <1%",2005,2005,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,65,100,5687,568700,0.01,,,,,,Male only,Community,,,,,2006,2006,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,65,100,7411,741100,0.01,,,,,,Male only,Community,,,,,2007,2007,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,65,100,9354,935400,0.01,,,,,,Male only,Community,,,,,2008,2008,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,65,100,11664,1166400,0.01,,,,,,Male only,Community,,,,,2009,2009,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,65,100,14495,724750,0.02,,,,,,Male only,Community,,,,,2010,2010,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,65,100,17837,891850,0.02,,,,,,Male only,Community,,,,,2011,2011,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,65,100,21630,1081500,0.02,,,,,,Male only,Community,,,,,2012,2012,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,65,100,216,21600,0.01,,,,,,Female only,Community,,,,"
Prevalence <1%",2004,2004,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,65,100,330,33000,0.01,,,,,,Female only,Community,,,,"
Prevalence <1%",2005,2005,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,65,100,487,48700,0.01,,,,,,Female only,Community,,,,"
Prevalence <1%",2006,2006,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,65,100,702,70200,0.01,,,,,,Female only,Community,,,,"
Prevalence <1%",2007,2007,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,65,100,986,98600,0.01,,,,,,Female only,Community,,,,"
Prevalence <1%",2008,2008,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,65,100,1376,137600,0.01,,,,,,Female only,Community,,,,"
Prevalence <1%",2009,2009,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,65,100,1913,191300,0.01,,,,,,Female only,Community,,,,"
Prevalence <1%",2010,2010,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,65,100,2643,264300,0.01,,,,,,Female only,Community,,,,"
Prevalence <1%",2011,2011,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis"
South Africa (National),South Africa,HIV prevalence,National,65,100,3604,360400,0.01,,,,,,Female only,Community,,,,"
Prevalence <1%",2012,2012,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis"
Viet Nam (National),Viet Nam,LTBI prevalence - TST,National,6,14,3589,21487,0.167,,,,,,Both,Community,,,,"
TST induration => 10mm",2007,2007,"
LTBI protocol"
Kenya (National),Kenya,TB incidence,National,0,100,727,101292,0.00717,,,,,,Both,Community,,,,"
   ",2010,2010,"
KEMRI (Siaya) PQV"
Botswana (National),Botswana,TB incidence,National,0,4,457,160351,0.00285,Denominator estimated from percent and numerator,Registered/notified,,,,Both,Community,,,0.7,"
   ",2009,2009,"
CTU of Gaborone/Molepole site presentation"
Botswana (National),Botswana,TB incidence,National,5,14,491,159935,0.00307,Denominator estimated from percent and numerator,Registered/notified,,,,Both,Community,,,0.7,"
   ",2009,2009,"
CTU of Gaborone/Molepole site presentation"
Botswana (National),Botswana,TB incidence,National,15,24,1274,160051,0.00796,Denominator estimated from percent and numerator,Registered/notified,,,,Both,Community,,,0.7,"
",2009,2009,"
CTU of Gaborone/Molepole site presentation"
Botswana (National),Botswana,TB incidence,National,25,34,2815,160035,0.01759,Denominator estimated from percent and numerator,Registered/notified,,,,Both,Community,,,0.7,"
  ",2009,2009,"
CTU of Gaborone/Molepole site presentation"
Botswana (National),Botswana,TB incidence,National,35,44,2221,160015,0.01388,Denominator estimated from percent and numerator,Registered/notified,,,,Both,Community,,,0.7,"
  ",2009,2009,"
CTU of Gaborone/Molepole site presentation"
Botswana (National),Botswana,TB incidence,National,45,54,1270,160152,0.00793,Denominator estimated from percent and numerator,Registered/notified,,,,Both,Community,,,0.7,"
   ",2009,2009,"
CTU of Gaborone/Molepole site presentation"
Botswana (National),Botswana,TB incidence,National,55,64,621,160052,0.00388,Denominator estimated from percent and numerator,Registered/notified,,,,Both,Community,,,0.7,"
  ",2009,2009,"
CTU of Gaborone/Molepole site presentation"
Botswana (National),Botswana,TB incidence,National,65,100,516,159753,0.00323,Denominator estimated from percent and numerator,Registered/notified,,,,Both,Community,,,0.7,"
",2009,2009,"
CTU of Gaborone/Molepole site presentation"
Kenya (National),Kenya,TB incidence,National,0,100,635,101292,0.00626,,,,,,Both,Community,,,,"
  ",2011,2011,"
KEMRI (Siaya) PQV"
Nigeria (National),Nigeria,TB incidence,National,0,100,496667,159700000,0.00311,,,,,,Both,Community,,,0.42,"
  ",2010,2010,"
Nigerian Institute of Medical Research PQV"
Zambia (National),Zambia,TB incidence,National,0,100,66066,14300000,0.00462,,,,,,Both,Community,,,,,2011,2011,"
2012 TB018 presentation"
Timor-Leste (National),Timor-Leste,TB incidence,National,0,100,5867,1178000,0.00498,,,,,,Both,Community,,,,,2013,2013,"
Burnet Institute's AUSAID proposal"
Papua New Guinea (National),Papua New Guinea,TB incidence,National,0,100,13396,6599000,0.00203,,,,,,Both,Community,,,,,2009,2009,"
Walter & Eliza Hall Institute of Medical Research's AUSAID proposal"
Mongolia (National),Mongolia,TB incidence,National,0,100,3944,3000000,0.00131,,,,,,Both,Community,,,,,2013,2013,"
Claudia Dobler's AUSAID proposal"
Bangladesh (National),Bangladesh,TB incidence,National,5,9,141,9357,0.015,,,,,,Both,Community,,,,,2007,2009,"
Hossain 2013 Tuberculin survey in Bangladesh, 2007-2009: prevalence of tuberculous infection and implications for TB control"
Bangladesh (National),Bangladesh,TB incidence,National,10,14,140,8228,0.017,,,,,,Both,Community,,,,,2007,2009,"
Hossain 2013 Tuberculin survey in Bangladesh, 2007-2009: prevalence of tuberculous infection and implications for TB control"
