Organization_Site,Country,Data_type,Data_level,Age_range_low,Age_range_high,Numerator,Denominator,Percent,Estimates,TB Type,Gender,Population,CDR,Comments,Data_Year_Min,Data_Year_Max,Data_source
South Africa,South Africa,HIV prevalence,National,0,14,"170,444","8,522,200",0.0200,,,Female only,Community,,,2005,2005,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,0,14,"184,182","9,209,100",0.0200,,,Female only,Community,,,2006,2006,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,0,14,"197,127","6,570,900",0.0300,,,Female only,Community,,,2007,2007,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,0,14,"206,756","6,891,866",0.0300,,,Female only,Community,,,2008,2008,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,0,14,"216,391","7,213,033",0.0300,,,Female only,Community,,,2009,2009,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,0,14,"224,794","7,493,133",0.0300,,,Female only,Community,,,2010,2010,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,0,14,"231,510","7,717,000",0.0300,,,Female only,Community,,,2011,2011,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,0,14,"236,316","7,877,200",0.0300,,,Female only,Community,,,2012,2012,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,15,24,"171,569","4,289,225",0.0400,,,Male only,Community,,,2004,2004,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,15,24,"163,511","5,450,367",0.0300,,,Male only,Community,,,2005,2005,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis"
South Africa,South Africa,HIV prevalence,National,15,24,"152,244","5,074,800",0.0300,,,Male only,Community,,,2006,2006,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,15,24,"139,463","4,648,767",0.0300,,,Male only,Community,,,2007,2007,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,15,24,"125,302","4,176,733",0.0300,,,Male only,Community,,,2008,2008,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,15,24,"112,571","5,628,550",0.0200,,,Male only,Community,,,2009,2009,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,15,24,"102,660","5,133,000",0.0200,,,Male only,Community,,,2010,2010,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,15,24,"95,686","4,784,300",0.0200,,,Male only,Community,,,2011,2011,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,15,24,"92,922","4,646,100",0.0200,,,Male only,Community,,,2012,2012,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,15,24,"737,113","4,914,087",0.1500,,,Female only,Community,,,2004,2004,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,15,24,"746,449","4,976,327",0.1500,,,Female only,Community,,,2005,2005,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis"
South Africa,South Africa,HIV prevalence,National,15,24,"745,553","4,970,353",0.1500,,,Female only,Community,,,2006,2006,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis"
South Africa,South Africa,HIV prevalence,National,15,24,"737,401","4,916,007",0.1500,,,Female only,Community,,,2007,2007,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,15,24,"717,737","4,784,913",0.1500,,,Female only,Community,,,2008,2008,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,15,42,"693,367","4,952,621",0.1400,,,Female only,Community,,,2009,2009,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,15,24,"666,964","5,130,492",0.1300,,,Female only,Community,,,2010,2010,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,15,24,"638,814","4,913,954",0.1300,,,Female only,Community,,,2011,2011,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,15,24,"614,650","5,122,083",0.1200,,,Female only,Community,,,2012,2012,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,25,44,"1,372,387","6,535,176",0.2100,,,Male only,Community,,,2004,2004,"
??Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis"
South Africa,South Africa,HIV prevalence,National,25,44,"1,400,222","6,667,724",0.2100,,,Male only,Community,,,2005,2005,"
??Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis"
South Africa,South Africa,HIV prevalence,National,25,44,"1,413,899","6,732,852",0.2100,,,Male only,Community,,,2006,2006,"
??Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis"
South Africa,South Africa,HIV prevalence,National,25,44,"1,419,245","6,758,310",0.2100,,,Male only,Community,,,2007,2007,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,25,44,"1,415,028","7,075,140",0.2000,,,Male only,Community,,,2008,2008,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,25,44,"1,411,973","7,059,865",0.2000,,,Male only,Community,,,2009,2009,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,25,44,"1,413,503","7,067,515",0.2000,,,Male only,Community,,,2010,2010,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,25,44,"1,415,507","7,450,037",0.1900,,,Male only,Community,,,2011,2011,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,25,44,"1,418,938","7,468,094",0.1900,,,Male only,Community,,,2012,2012,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis"
South Africa,South Africa,HIV prevalence,National,25,44,"1,605,178","6,979,035",0.2300,,,Female only,Community,,,2004,2004,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis"
South Africa,South Africa,HIV prevalence,National,25,44,"1,687,618","7,031,742",0.2400,,,Female only,Community,,,2005,2005,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis"
South Africa,South Africa,HIV prevalence,National,25,44,"1,758,506","7,034,024",0.2500,,,Female only,Community,,,2006,2006,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,26,44,"1,827,920","7,311,680",0.2500,,,Female only,Community,,,2007,2007,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,25,44,"1,889,013","7,265,434",0.2600,,,Female only,Community,,,2008,2008,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,25,44,"1,952,020","7,507,769",0.2600,,,Female only,Community,,,2009,2009,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,25,44,"2,016,064","7,466,904",0.2700,,,Female only,Community,,,2010,2010,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,25,44,"2,079,147","7,700,544",0.2700,,,Female only,Community,,,2011,2011,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,25,44,"2,137,620","7,634,357",0.2800,,,Female only,Community,,,2012,2012,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,46,64,"348,200","2,901,667",0.1200,,,Male only,Community,,,2004,2004,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,46,64,"375,069","3,125,575",0.1200,,,Male only,Community,,,2005,2005,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis"
South Africa,South Africa,HIV prevalence,National,45,64,"395,382","3,294,850",0.1200,,,Male only,Community,,,2006,2006,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,45,64,"410,896","3,160,739",0.1300,,,Male only,Community,,,2007,2007,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,45,64,"421,818","3,244,754",0.1300,,,Male only,Community,,,2008,2008,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,45,64,"432,648","3,328,062",0.1300,,,Male only,Community,,,2009,2009,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,45,64,"444,998","3,423,062",0.1300,,,Male only,Community,,,2010,2010,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,45,64,"456,641","3,512,623",0.1300,,,Male only,Community,,,2011,2011,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,45,64,"467,147","3,593,439",0.1300,,,Male only,Community,,,2012,2012,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,45,64,"134,161","3,354,025",0.0400,,,Female only,Community,,,2004,2004,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,45,64,"162,894","4,072,350",0.0400,,,Female only,Community,,,2005,2005,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,45,64,"193,048","3,860,960",0.0500,,,Female only,Community,,,2006,2006,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis"
South Africa,South Africa,HIV prevalence,National,45,64,"225,319","3,755,316",0.0600,,,Female only,Community,,,2007,2007,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,45,64,"257,804","4,296,733",0.0600,,,Female only,Community,,,2008,2008,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,45,64,"291,822","4,168,886",0.0700,,,Female only,Community,,,2009,2009,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,45,64,"326,955","4,086,938",0.0800,,,Female only,Community,,,2010,2010,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,45,64,"362,174","4,527,175",0.0800,,,Female only,Community,,,2011,2011,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,45,64,"396,514","4,405,711",0.0900,,,Female only,Community,,,2012,2012,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,65,100,"2,958","295,800",0.0100,,,Male only,Community,,"
?Prevalence <1%",2004,2004,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis"
South Africa,South Africa,HIV prevalence,National,65,100,"4,204","420,400",0.0100,,,Male only,Community,,"
?Prevalence <1%",2005,2005,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,65,100,"5,687","568,700",0.0100,,,Male only,Community,,,2006,2006,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,65,100,"7,411","741,100",0.0100,,,Male only,Community,,,2007,2007,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,65,100,"9,354","935,400",0.0100,,,Male only,Community,,,2008,2008,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,65,100,"11,664","1,166,400",0.0100,,,Male only,Community,,,2009,2009,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,65,100,"14,495","724,750",0.0200,,,Male only,Community,,,2010,2010,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,65,100,"17,837","891,850",0.0200,,,Male only,Community,,,2011,2011,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,65,100,"21,630","1,081,500",0.0200,,,Male only,Community,,,2012,2012,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,65,100,216,"21,600",0.0100,,,Female only,Community,,"
?Prevalence <1%",2004,2004,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,65,100,330,"33,000",0.0100,,,Female only,Community,,"
?Prevalence <1%",2005,2005,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,65,100,487,"48,700",0.0100,,,Female only,Community,,"
?Prevalence <1%",2006,2006,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,65,100,702,"70,200",0.0100,,,Female only,Community,,"
?Prevalence <1%",2007,2007,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,65,100,986,"98,600",0.0100,,,Female only,Community,,"
?Prevalence <1%",2008,2008,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,65,100,"1,376","137,600",0.0100,,,Female only,Community,,"
?Prevalence <1%",2009,2009,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,65,100,"1,913","191,300",0.0100,,,Female only,Community,,"
?Prevalence <1%",2010,2010,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,65,100,"2,643","264,300",0.0100,,,Female only,Community,,"
?Prevalence <1%",2011,2011,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis"
South Africa,South Africa,HIV prevalence,National,65,100,"3,604","360,400",0.0100,,,Female only,Community,,"
?Prevalence <1%",2012,2012,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis"
Viet Nam,Viet Nam,LTBI prevalence - TST,National,6,14,"3,589","21,487",0.1670,,,Both,Community,,"
TST induration => 10mm",2007,2007,"
?LTBI protocol"
Kenya,Kenya,TB incidence,National,0,100,727,"101,292",0.0072,,,Both,Community,,"
   ",2010,2010,"
?KEMRI (Siaya) PQV"
Botswana,Botswana,TB incidence,National,0,4,457,"160,351",0.0029,Denominator estimated from percent and numerator,Registered/notified,Both,Community,70%,"
   ",2009,2009,"
CTU of Gaborone/Molepole site presentation"
Botswana,Botswana,TB incidence,National,5,14,491,"159,935",0.0031,Denominator estimated from percent and numerator,Registered/notified,Both,Community,70%,"
   ",2009,2009,"
CTU of Gaborone/Molepole site presentation"
Botswana,Botswana,TB incidence,National,15,24,"1,274","160,051",0.0080,Denominator estimated from percent and numerator,Registered/notified,Both,Community,70%,"
?",2009,2009,"
CTU of Gaborone/Molepole site presentation?"
Botswana,Botswana,TB incidence,National,25,34,"2,815","160,035",0.0176,Denominator estimated from percent and numerator,Registered/notified,Both,Community,70%,"
  ",2009,2009,"
CTU of Gaborone/Molepole site presentation"
Botswana,Botswana,TB incidence,National,35,44,"2,221","160,015",0.0139,Denominator estimated from percent and numerator,Registered/notified,Both,Community,70%,"
  ",2009,2009,"
CTU of Gaborone/Molepole site presentation"
Botswana,Botswana,TB incidence,National,45,54,"1,270","160,152",0.0079,Denominator estimated from percent and numerator,Registered/notified,Both,Community,70%,"
   ",2009,2009,"
CTU of Gaborone/Molepole site presentation"
Botswana,Botswana,TB incidence,National,55,64,621,"160,052",0.0039,Denominator estimated from percent and numerator,Registered/notified,Both,Community,70%,"
  ",2009,2009,"
CTU of Gaborone/Molepole site presentation"
Botswana,Botswana,TB incidence,National,65,100,516,"159,753",0.0032,Denominator estimated from percent and numerator,Registered/notified,Both,Community,70%,"
?",2009,2009,"
CTU of Gaborone/Molepole site presentation"
Kenya,Kenya,TB incidence,National,0,100,635,"101,292",0.0063,,,Both,Community,,"
  ",2011,2011,"
KEMRI (Siaya) ??PQV?"
Nigeria,Nigeria,TB incidence,National,0,100,"496,667","159,700,000",0.0031,,,Both,Community,42%,"
  ",2010,2010,"
Nigerian Institute of Medical Research PQV?"
Zambia,Zambia,TB incidence,National,0,100,"66,066","14,300,000",0.0046,,,Both,Community,,,2011,2011,"
?2012 TB018 presentation"
Timor-Leste,Timor-Leste,TB incidence,National,0,100,"5,867","1,178,000",0.0050,,,Both,Community,,,2013,2013,"
Burnet Institute's AUSAID proposal"
Papua New Guinea,Papua New Guinea,TB incidence,National,0,100,"13,396","6,599,000",0.0020,,,Both,Community,,,2009,2009,"
Walter & Eliza Hall Institute of Medical Research's AUSAID proposal"
Mongolia,Mongolia,TB incidence,National,0,100,"3,944","3,000,000",0.0013,,,Both,Community,,,2013,2013,"
??Claudia Dobler's AUSAID proposal"
Bangladesh,Bangladesh,TB incidence,National,5,9,141,"9,357",0.0150,,,Both,Community,,,2007,2009,"
Hossain 2013 Tuberculin survey in Bangladesh, 2007-2009: prevalence of tuberculous infection and implications for TB control"
Bangladesh,Bangladesh,TB incidence,National,10,14,140,"8,228",0.0170,,,Both,Community,,,2007,2009,"
Hossain 2013 Tuberculin survey in Bangladesh, 2007-2009: prevalence of tuberculous infection and implications for TB control"
South Africa,South Africa,TB incidence,National,0,100,"305,567","47,010,307",0.0065,,"Definite (e.g., culture positive)",Both,Community,,"
  ",2004,2004,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis?"
